Date,Open,High,Low,Close,Volume
30-05-2012,300.875,307.350006,299.087006,304.037994,8051488
31-05-2012,301,319,298.888,303.669006,21626352
1/6/2012,301.875,303.937988,297.875,298.649994,6543040
4/6/2012,296.75,299.544006,293.125,298.200012,4812088
5/6/2012,298.125,301.487,296.837006,298.605988,5992720
6/6/2012,299.649994,304.169006,299.549988,301.937988,8777184
7/6/2012,306,308.105988,304.519012,306.618988,6647088
8/6/2012,311.112,311.112,299.100006,302.406006,5564824
11/6/2012,303.375,306.593994,301.862,303.205994,3553784
12/6/2012,300.274994,308.75,300.274994,307.256012,4134680
13-06-2012,306.406006,311.212006,305.25,308.763,6157784
14-06-2012,307.625,313.75,307.625,312.287994,7883336
15-06-2012,313.756012,316.5,312.843994,315.319,6311512
18-06-2012,316.875,318.044006,312.062012,313.962006,7117032
19-06-2012,312.5,313.125,307.237,309.625,6414080
20-06-2012,310,310.625,306.618988,308.763,6535976
21-06-2012,307,312.875,305.019012,311.412994,6536616
22-06-2012,306.218994,310.562012,303.306,309.306,6414328
25-06-2012,309.362,311,307.281006,308.519012,7949448
26-06-2012,306.638,307.487,303.694,305.049988,10330160
27-06-2012,306.5,309.375,306.056,308.513,8677384
28-06-2012,308.125,312.125,306.044006,309.162994,7612976
29-06-2012,311.75,314.875,309.524994,313.649994,9364968
2/7/2012,312.875,314.850006,311.337006,312.424988,5175216
3/7/2012,314.531006,314.531006,309.575012,311.319,6428808
4/7/2012,312.5,313.105988,308.625,309.924988,6390816
5/7/2012,310.031006,311,307.812012,310.031006,5780464
6/7/2012,309.5,310.625,305,305.580994,4887440
9/7/2012,302.638,308.612,300.25,304.743988,7314680
10/7/2012,305.5,307.912994,305.169006,307.424988,7054720
11/7/2012,306.25,312.799988,305.625,308.875,16945880
12/7/2012,281.25,285,277.375,283.049988,54271864
13-07-2012,277.25,282.350006,277.25,278.725006,26756504
16-07-2012,278.75,280.174988,270.406006,271.412994,18441096
17-07-2012,273.112,274.75,270.287994,271.406006,13503128
18-07-2012,271.406006,273.612,270.375,272.362,7873264
19-07-2012,275,281.25,274.156006,280.649994,10912392
20-07-2012,280.612,280.612,275.662994,277.343994,5153832
23-07-2012,275,276.237,272.825012,273.638,3890800
24-07-2012,273.812012,276.5,270.638,271.080994,7153512
25-07-2012,271.75,272.5,268.75,271.069,7036544
26-07-2012,270.875,270.875,262.656006,265.475006,11975336
27-07-2012,270.25,270.5,263.662994,268.580994,9862488
30-07-2012,270,276.875,269.694,276.212006,7166920
31-07-2012,276.875,279.5,273.125,278.368988,6914440
1/8/2012,276.875,278.799988,275.093994,277.319,3047984
2/8/2012,277.25,278.350006,274.375,275.718994,2420032
3/8/2012,274.531006,277.169006,273.138,276.062012,3095592
6/8/2012,277.774994,279.362,275.924988,277.100006,3250784
7/8/2012,279,283.674988,277.763,281.662994,5465344
8/8/2012,282.75,286.875,282.5,285.450012,8039104
9/8/2012,286.281006,288.937988,284.375,285.256012,6931096
10/8/2012,284.75,290.125,283,289.131012,5635688
13-08-2012,287.662994,291.375,287.513,290.013,4013928
14-08-2012,289.162994,291.875,286.169006,291.169006,4044816
16-08-2012,291.019012,291.019012,287.631012,289.431,3729624
17-08-2012,290.5,294.375,289.537994,293.881012,8493280
21-08-2012,295.625,304.875,295.625,301.125,12206136
22-08-2012,300.362,305,299.269012,304.200012,5149168
23-08-2012,304.375,310.375,303.031006,309.649994,14722856
24-08-2012,306,307.294006,304.25,305.600006,6724512
27-08-2012,303.774994,305.812012,300.700012,301.487,7891360
28-08-2012,299.625,306.431,299.625,302.644012,5666056
29-08-2012,302.75,302.75,297.806,298.537994,5616416
30-08-2012,297.980988,300.769012,296.256012,299.087006,11175392
31-08-2012,298.25,298.25,294.343994,295.205994,5811064
3/9/2012,295.75,299.862,294.75,295.638,4321512
4/9/2012,295.044006,296.5,293.013,295.100006,2333328
5/9/2012,293.375,294.625,291.524994,292.431,4013224
6/9/2012,293.812012,303.487,293.812012,302.75,7623384
7/9/2012,306.875,311.75,306.388,310.906006,6075696
10/9/2012,312,315.875,309.843994,314.044006,7337320
11/9/2012,312.5,316.993988,309.325012,316.187988,5441904
12/9/2012,316.375,318.743988,315.144012,317.462006,5083328
13-09-2012,317.350006,320.862,314.75,319.381012,5249704
14-09-2012,323.5,330.587006,323.263,329.013,10627848
17-09-2012,331.125,331.125,318.375,320.562012,9859272
18-09-2012,322.5,327.375,322.25,325.100006,7184200
20-09-2012,319.575012,330.625,319.575012,327.149994,11625136
21-09-2012,326.919006,331.25,322.950012,324.162994,12293872
24-09-2012,325,326.237,321.894012,325.019012,8854032
25-09-2012,323.75,326.375,323.506012,324.756012,8849752
26-09-2012,322.25,325,320.894012,323.662994,8489904
27-09-2012,324.062012,324.125,316.843994,318.669006,13822880
28-09-2012,320.125,322.487,315.774994,316.868988,9685224
1/10/2012,318.912994,327.524994,318.625,326.205994,8826288
3/10/2012,325.656006,327.394012,320.062012,322.281006,7823624
4/10/2012,321.888,324.362,319.631012,321.955994,7164280
5/10/2012,323.125,323.125,257.569,315.855988,11632000
8/10/2012,315.600006,317.862,307.5,311.024994,8077440
9/10/2012,313.125,318.75,310.5,317.031006,9084320
10/10/2012,313.388,316.019012,311.200012,313.019012,5932104
11/10/2012,312,322.506012,310.149994,316.649994,14966400
12/10/2012,293.75,305.980988,288.875,299.419006,56701776
15-10-2012,298.212006,301.5,294.100006,295.700012,14790120
16-10-2012,297.487,298.625,293.375,294.462006,7282048
17-10-2012,297.006012,297.375,294.656006,296.269012,5707320
18-10-2012,295.5,299.625,293.138,297.200012,10192576
19-10-2012,295.75,299.625,295.75,297.919006,10937200
22-10-2012,296.031006,299.75,296.031006,298.194,4566864
23-10-2012,295.25,298,293.75,294.138,4743144
25-10-2012,292.875,294.638,291.269012,293.093994,11256776
29-10-2012,290.125,292.375,288.412994,291.937988,4736664
30-10-2012,290.75,295.625,290.75,294.794006,5728256
31-10-2012,293.75,296.812012,293.194,295.375,6517320
1/11/2012,295.25,296.25,292.638,295.580994,7010976
2/11/2012,296.375,300.575012,296.138,298.513,7049216
5/11/2012,297.888,298.825012,295.937988,297.306,4959200
6/11/2012,298,300.812012,296.406006,297.705994,6815768
